star_id,radius_fraction,beta,density_g_cm3,temperature_k,mean_molecular_weight,grad_ad,grad_rad,epsilon_erg_g_s,delta_n_rad,delta_n_mu,delta_n_conv,delta_n_nuc_global,delta_n_deg
mesa_model_0001_profile_01,0.13403028622093627,0.9999110920369281,0.00047440497664156465,286227.5064047599,0.6213713751275346,0.39540830083259176,-789.3452290143363,3.7753796659359054e-20,0.00013673099837394734,0.00014910055271470063,0.0,0.11199300147368631,0.0015094089806300735
mesa_model_0001_profile_01,0.13603021627585327,0.9999200902113377,0.00047324944115100594,285769.7717689872,0.6213734853447572,0.3954016831941706,-843.5457285294294,3.668718705918636e-20,0.00012288738976504098,0.0001521240820686295,0.0,0.11199300147368631,0.0015093707319485945
mesa_model_0001_profile_01,0.13803014633077026,0.9999310850874664,0.00047205850245270095,285298.40611726954,0.6213756806547883,0.39539484359183075,-538.6941138490076,3.561115640433639e-20,0.00010597422209796771,0.00015565185934135378,0.0,0.11199300147368631,0.001509327007651732
mesa_model_0001_profile_01,0.14003007638568726,0.9999430421575429,0.0004708471285389591,284818.7337939635,0.6213779417090021,0.3953878516131333,-129.6403506185884,3.4543091195014233e-20,8.758294626273416e-05,0.00015972075720388067,0.0,0.11199300147368631,0.0015092813489343809
mesa_model_0001_profile_01,0.1420300064406043,0.9999545916119322,0.0004696295275455085,284335.8083977611,0.6213802502074388,0.39538077318231296,141.80418058760785,3.3499508673892773e-20,6.982021178707818e-05,0.00016420852343716023,291.1788169584589,0.11199300147368631,0.0015092372382978494
mesa_model_0001_profile_01,0.1440299364955213,0.9999651573719242,0.00046840935346426587,283850.9229641704,0.621382602415747,0.3953736233412767,214.92951406018827,3.248485239864792e-20,5.3571695727700676e-05,0.00016881304533118393,440.723524352656,0.11199300147368631,0.0015091956135541162
mesa_model_0001_profile_01,0.1460298665504383,0.9999749953902145,0.0004671825335919039,283362.61741805595,0.6213850052630664,0.39536637988094697,161.61014246648838,3.149472677466539e-20,3.8443611372570765e-05,0.00017336051434573246,330.41424923693125,0.11199300147368631,0.0015091554697197228
mesa_model_0001_profile_01,0.1480297966053553,0.9999845055017513,0.0004659448181525742,282869.36859130004,0.6213874659229113,0.3953590197385666,56.75899386728554,3.0524533640653833e-20,2.382106614183513e-05,0.00017781728077163195,115.24832986830259,0.11199300147368631,0.0015091157173011504
mesa_model_0001_profile_01,0.1500297266602723,0.9999942105357156,0.0004646920182352995,282369.67499108065,0.6213899914734249,0.3953515201289044,-25.754366100745543,2.956974257706263e-20,8.90023211949047e-06,0.00018219312197210604,0.0,0.11199300147368631,0.001509075240962242
mesa_model_0001_profile_01,0.1520296567151893,1.0,0.0004634222900398678,281862.8702691877,0.6213925853181145,0.3953438689597543,-52.26090789585854,2.8628433239448497e-20,0.0,0.00018656251458916155,0.0,0.11199300147368631,0.0015090335021472803
mesa_model_0001_profile_01,0.1540295867701063,1.0,0.0004621368240480745,281349.36865079217,0.6213952461059652,0.39533606797435644,-41.10610175050724,2.7702062396319213e-20,0.0,0.00019098411397544936,0.0,0.11199300147368631,0.001508990750815653
mesa_model_0001_profile_01,0.15602951682502333,1.0,0.00046083701231531583,280829.65614577936,0.6213979721701094,0.39532811983506777,-14.090848209259633,2.6792311164749007e-20,0.0,0.0001954678293161356,0.0,0.11199300147368631,0.0015089473007647838
mesa_model_0001_profile_01,0.15802944687994033,1.0,0.0004595242276878146,280304.2119172942,0.6214007618556927,0.3953200270999688,7.314151757628835,2.5900837474412023e-20,0.0,0.00019998317418094477,13.981086189835223,0.11199300147368631,0.0015089034727668834
